小区名称,行政区,朝向,房屋配置,面积（㎡）,总价（万）,均价(平),楼层,建筑年份,周边,小区地址
永泰花苑,浦东区,南北,2室2厅1卫,83.39,508,60919,低层(共18层),2006年建造,三林,永泰路630弄
永泰花苑,浦东区,南北,2室2厅1卫,84.9,380,44759,低层(共18层),2018年建造,三林,永泰路630弄
永泰花苑,浦东区,南北,2室2厅1卫,83.39,427,51206,中层(共18层),2018年建造,三林,永泰路630弄
保利·海上瑧悦,宝山区,南,3室2厅2卫,99,624,63031,,,上海大学,丰皓路1288弄
永泰花苑,浦东区,南北,3室2厅1卫,97.82,455,46515,低层(共11层),2007年建造,三林,永泰路630弄
金光小区,浦东区,南,2室1厅1卫,61.93,375,60553,高层(共6层),1998年建造,三林,"上南路4265弄,上南路4271弄"
明天华城,浦东区,南,2室2厅1卫,90.2,475,52661,低层(共18层),2012年建造,周浦,"康沈路2262弄,周星路500弄"
大华锦绣华城九街区,浦东区,南北,2室1厅1卫,88.1,678,76959,高层(共14层),2006年建造,北蔡,北艾路1200弄
瀚锦苑,浦东区,南,3室2厅1卫,114.86,830,72262,低层(共11层),2003年建造,上南,洪山路1889弄
阳光城市家园,浦东区,南,2室2厅1卫,81.53,479,58752,低层(共17层),2009年建造,金桥,永宁路33弄
金桥湾清水苑(一期),浦东区,南,2室1厅1卫,68.22,398,58341,低层(共6层),1998年建造,金桥,台儿庄路363弄
梓潼佳苑,浦东区,南北,2室2厅1卫,82.36,480,58281,共5层,2018年建造,周浦,上南路7718弄
汤臣商务中心,浦东区,南,2室2厅2卫,77.43,285,36808,高层(共12层),2016年建造,陆家嘴,"张杨路158,188,228号"
上钢一村,浦东区,南,2室1厅1卫,45.68,255,55824,高层(共6层),1959年建造,上钢新村,上钢一村1-140号
中金海棠湾(二期公寓住宅),浦东区,南北,3室2厅2卫,131.57,758,57612,高层(共7层),2018年建造,周浦,"沈梅东路355弄,周园路1680弄,周园路1800弄,瑞建路88弄"
汇丽苑,浦东区,南北,2室2厅1卫,75.01,295,39329,低层(共6层),2007年建造,周浦,"川周公路4011弄,关岳路229弄,周东新村"
金桥好人家,浦东区,南北,2室2厅1卫,82.66,538,65086,中层(共6层),2001年建造,金桥,荷泽路418弄
龚路新城,浦东区,南北,2室2厅1卫,86.18,263,30518,中层(共6层),2005年建造,曹路,龚华路479弄
泾东小区,浦东区,南,3室1厅1卫,87.03,439.8,50535,高层(共25层),1990年建造,洋泾,"崮山路459号,博山路51弄,博山路13弄,泾东一村"
永泰花苑,浦东区,南北,2室1厅1卫,72.28,438,60598,中层(共11层),2006年建造,三林,永泰路630弄
印象春城,浦东区,南北,2室2厅1卫,88.19,435,49326,中层(共14层),2010年建造,周浦,年家浜东路129弄1-78号
永泰花苑,浦东区,南北,2室1厅1卫,75.48,373,49418,中层(共18层),2006年建造,三林,永泰路630弄
保利·海上瑧悦,宝山区,南,3室2厅2卫,99,624,63031,,,上海大学,丰皓路1288弄
金海华城悦虹雅苑,浦东区,南北,2室2厅1卫,91.99,310,33700,中层(共17层),2020年建造,曹路,海鹏路380弄
金海华城永华苑,浦东区,南北,3室2厅1卫,116.34,350,30085,中层(共18层),2014年建造,曹路,龚华路35弄
汤臣商务中心,浦东区,南,3室2厅3卫,70.37,276.9,39350,高层(共20层),2015年建造,陆家嘴,"张杨路158,188,228号"
南泉大楼,浦东区,南,2室1厅1卫,80.87,570,70484,中层(共24层),1997年建造,潍坊新村,浦电路138弄
昌里花园,浦东区,南北,2室2厅1卫,98.43,595,60450,低层(共14层),2000年建造,世博,"昌里东路71弄,云莲路398弄,云台路183弄"
春港丽园,浦东区,南北,3室1厅1卫,76.61,340,44381,高层(共6层),2001年建造,张江,益丰路55弄
新昌里公寓,浦东区,南北,2室2厅1卫,95.46,580,60759,中层(共6层),2006年建造,世博,昌里东路320弄
上南花城,浦东区,南北,3室2厅1卫,101.29,840,82931,高层(共11层),2003年建造,世博,"耀华路87弄,耀华路85弄1-10号"
金桥新村四街坊,浦东区,南北,3室2厅1卫,84.99,452,53183,中层(共6层),1997年建造,金桥,"长岛路1267弄,长岛路1203弄,长岛路1201弄,博兴路916弄,博兴路986弄"
凌兆十一村,浦东区,南,3室2厅1卫,92.29,460,49843,中层(共6层),1998年建造,三林,上浦路202弄
金桥瑞仕花园,浦东区,南,2室2厅2卫,124.92,1329,106389,中层(共21层),2008年建造,金杨新村,枣庄路399弄
东陆新村六街坊,浦东区,南,3室1厅1卫,83.02,339,40834,高层(共6层),1995年建造,金桥,"巨峰路176弄,巨峰路90弄"
名门世家(浦东),浦东区,南,2室2厅1卫,87.73,670,76371,低层(共6层),2003年建造,洋泾,崮山路322弄
金海华城恒裕嘉园,浦东区,南北,3室1厅1卫,96.56,300,31069,高层(共18层),2020年建造,曹路,霞玉路436弄
永泰花苑,浦东区,南北,2室2厅1卫,84.9,500,58893,低层(共18层),2006年建造,三林,永泰路630弄
